"curveID","param","param_value","PARi","assim"
"theta_0.6","theta",0.6,100,7.11786994637849
"theta_0.6","theta",0.6,150,10.5026526318799
"theta_0.6","theta",0.6,200,13.4521081910678
"theta_0.6","theta",0.6,250,15.9975063274574
"theta_0.6","theta",0.6,300,18.1805583123816
"theta_0.6","theta",0.6,350,20.0474345377251
"theta_0.6","theta",0.6,400,21.6438812999379
"theta_0.6","theta",0.6,500,24.1890839934708
"theta_0.6","theta",0.6,600,26.0906868197915
"theta_0.6","theta",0.6,800,28.6765240811089
"theta_0.6","theta",0.6,1000,30.3156362969512
"theta_0.6","theta",0.6,1250,31.6570834540531
"theta_0.6","theta",0.6,1500,32.5591272411023
"theta_0.6","theta",0.6,1800,33.3119244857468
"theta_0.7","theta",0.7,0,-1
"theta_0.7","theta",0.7,10,-0.106455123059785
"theta_0.7","theta",0.7,20,0.773939790615857
"theta_0.7","theta",0.7,30,1.64083019355894
"theta_0.7","theta",0.7,40,2.49386992655205
"theta_0.7","theta",0.7,50,3.33272339842552
"theta_0.7","theta",0.7,60,4.15706783553494
"theta_0.7","theta",0.7,70,4.96659557378784
"theta_0.7","theta",0.7,80,5.76101636229837
"theta_0.7","theta",0.7,90,6.54005964445449
"theta_0.7","theta",0.7,100,7.30347677958161
"theta_0.7","theta",0.7,150,10.8792566360793
"theta_0.7","theta",0.7,200,14.0428939406601
"theta_0.7","theta",0.7,250,16.7968523590599
"theta_0.7","theta",0.7,300,19.1626627410032
"theta_0.7","theta",0.7,350,21.1762726208216
"theta_0.7","theta",0.7,400,22.8814317056509
"theta_0.7","theta",0.7,500,25.5452381818119
"theta_0.7","theta",0.7,600,27.472658796142
"theta_0.7","theta",0.7,800,29.980484483465
"theta_0.7","theta",0.7,1000,31.492424729325
"theta_0.7","theta",0.7,1250,32.681932138147
"theta_0.7","theta",0.7,1500,33.457307745309
"theta_0.7","theta",0.7,1800,34.0894410582253
"theta_0.8","theta",0.8,0,-1
"theta_0.8","theta",0.8,10,-0.104324213586263
"theta_0.8","theta",0.8,20,0.782455207361835
"theta_0.8","theta",0.8,30,1.65995829221248
"theta_0.8","theta",0.8,40,2.52779494575577
"theta_0.8","theta",0.8,50,3.38556589607121
"theta_0.8","theta",0.8,60,4.23286385479937
"theta_0.8","theta",0.8,70,5.06927490518706
"theta_0.8","theta",0.8,80,5.89438013074779
"theta_0.8","theta",0.8,90,6.70775749387119
"theta_0.8","theta",0.8,100,7.50898396914255
"theta_0.8","theta",0.8,150,11.3182988019146
"theta_0.8","theta",0.8,200,14.7646159383287
"theta_0.8","theta",0.8,250,17.8115748580497
"theta_0.8","theta",0.8,300,20.4445249016089
"theta_0.8","theta",0.8,350,22.6747469971919
"theta_0.8","theta",0.8,400,24.5361761135226
"theta_0.8","theta",0.8,500,27.3480872191016
"theta_0.8","theta",0.8,600,29.274093219876
"theta_0.8","theta",0.8,800,31.603596306133
"theta_0.8","theta",0.8,1000,32.9022777135356
"theta_0.8","theta",0.8,1250,33.867872657225
"theta_0.8","theta",0.8,1500,34.4716062389375
"theta_0.8","theta",0.8,1800,34.9494525564273
"theta_0.9","theta",0.9,0,-1
"theta_0.9","theta",0.9,10,-0.102172632824568
"theta_0.9","theta",0.9,20,0.791139788102281
"theta_0.9","theta",0.9,30,1.67966997708841
"theta_0.9","theta",0.9,40,2.56313278111178
"theta_0.9","theta",0.9,50,3.44122410306553
"theta_0.9","theta",0.9,60,4.31361981539972
"theta_0.9","theta",0.9,70,5.17997468050932
"theta_0.9","theta",0.9,80,6.03992129874491
"theta_0.9","theta",0.9,90,6.89306911021047
"theta_0.9","theta",0.9,100,7.73900348259378
"theta_0.9","theta",0.9,150,11.844193878743
"theta_0.9","theta",0.9,200,15.6923304911037
"theta_0.9","theta",0.9,250,19.2056349866515
"theta_0.9","theta",0.9,300,22.3043806275329
"theta_0.9","theta",0.9,350,24.9297112974246
"theta_0.9","theta",0.9,400,27.0679728081518
"theta_0.9","theta",0.9,500,30.0700151436879
"theta_0.9","theta",0.9,600,31.8807606204501
"theta_0.9","theta",0.9,800,33.7564549525769
"theta_0.9","theta",0.9,1000,34.6598752587915
